"Outcome (or Indicator)","Group","Percentage","Confidence Interval","Title","Description","Year"
"Current asthma","At least one related or unrelated adult (not a parent)","11.5","7.9, 16.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Less than high school diploma","6.9","4.8,  9.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","High school diploma or GED","8.2","6.5, 10.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Some college","7.8","6.5,  9.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","College degree or higher","5.2","4.4,  6.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Less than 100% FPL","9.7","7.7, 12.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","100% to less than 200% FPL","7.2","5.9,  8.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","200% and greater FPL","5.8","5.0,  6.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","No working parents","10","7.5, 13.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Single parent, working","8.7","7.2, 10.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Two parents, one working","5.7","4.6,  7.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Two parents, both working","5.3","4.5,  6.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Private","6","5.2,  6.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Medicaid or other state programs","7.9","6.8,  9.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Other government coverage","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Uninsured","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Large MSA","6.2","5.5,  7.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Small MSA","7.1","5.8,  8.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Not in MSA","7.6","6.0,  9.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Northeast","7.1","5.6,  8.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Midwest","6.9","5.7,  8.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","South","7","5.9,  8.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","West","5.6","4.6,  6.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","With disability","15.1","12.4, 18.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Without disability","6.2","5.5,  7.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Large central metro","6.4","5.3,  7.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Large fringe metro","6.1","5.1,  7.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Medium and small metro","7","5.7,  8.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Nonmetropolitan","7.6","6.0,  9.5","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Little to no social vulnerability","6.2","4.8,  8.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Low social vulnerability","6","4.8,  7.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Medium social vulnerability","5.9","4.9,  7.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","High social vulnerability","8","6.8,  9.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","With functioning difficulty","10.1","8.9, 11.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Current asthma","Without functioning difficulty","4.9","4.2,  5.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2023"
"Ever having attention-deficit/hyperactivity disorder","Total","12","11.0, 13.0","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Female","8.8","7.7, 10.0","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Male","15","13.5, 16.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","3-4 years","1.7","0.7,  3.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","5-11 years","9.9","8.7, 11.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","12-17 years","17.2","15.5, 18.9","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","American Indian or Alaska Native only","999",,"Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Asian only","5","3.0,  7.8","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Black only","9.7","7.4, 12.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","White only","13.7","12.5, 15.0","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","American Indian and Alaska Native and White","999",,"Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Black and White","15.3","10.2, 21.7","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Hispanic","8.1","6.7,  9.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Non-Hispanic","13.4","12.2, 14.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Mexican or Mexican American","6.6","5.1,  8.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Black only, non-Hispanic","9.4","7.1, 12.2","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","White only, non-Hispanic","15.2","13.8, 16.7","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Other race, non-Hispanic","9.2","7.0, 11.7","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Single parent, never married","11.6","8.9, 14.8","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Single parent, ever married","19.3","16.3, 22.7","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Married parents","10","8.9, 11.2","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Cohabiting parents","7.4","4.6, 11.1","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","At least one related or unrelated adult (not a parent)","19.5","15.0, 24.7","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Less than high school diploma","9.4","6.6, 12.9","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","High school diploma or GED","12.3","10.1, 14.7","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Some college","12.5","10.7, 14.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","College degree or higher","11.4","10.1, 12.9","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Less than 100% FPL","12.2","9.7, 15.1","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","100% to less than 200% FPL","11.7","9.9, 13.8","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","200% and greater FPL","12","10.9, 13.2","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","No working parents","16.6","13.3, 20.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Single parent, working","15.2","13.2, 17.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Two parents, one working","8.3","6.6, 10.2","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Two parents, both working","10.6","9.3, 12.0","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Private","11.8","10.6, 13.1","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Medicaid or other state programs","12.5","11.0, 14.2","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Other government coverage","16.8","10.9, 24.2","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Uninsured","999",,"Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Large MSA","11.1","9.9, 12.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Small MSA","12.5","10.6, 14.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Not in MSA","14.4","11.8, 17.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Northeast","8.3","6.4, 10.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Midwest","13.6","11.6, 15.8","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","South","14.7","13.0, 16.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","West","8.6","7.1, 10.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","With disability","38","34.1, 42.1","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Without disability","8.2","7.4,  9.1","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Large central metro","9.9","8.4, 11.5","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Large fringe metro","12.4","10.6, 14.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Medium and small metro","12.5","10.7, 14.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Nonmetropolitan","14.4","11.8, 17.4","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Little to no social vulnerability","12.5","10.1, 15.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Low social vulnerability","14.4","12.3, 16.6","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Medium social vulnerability","10.4","8.8, 12.3","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","High social vulnerability","11.3","9.6, 13.1","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","With functioning difficulty","22.2","20.5, 24.1","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having attention-deficit/hyperactivity disorder","Without functioning difficulty","3.1","2.4,  3.8","Percentage of ever having attention-deficit/hyperactivity disorder for children aged 3-17 years (95% confidence intervals), United States","Based on the question ""Has a doctor or other health professional ever told you that [child's name] had attention deficit hyperactivity disorder (ADHD) or attention deficit disorder (ADD)?""","2023"
"Ever having a learning disability","Total","8.6","7.8,  9.4","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Female","6.1","5.2,  7.1","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Male","10.9","9.7, 12.2","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","3-4 years","2.7","1.6,  4.3","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
